X,Y,TX,TY
0.26,1.95,-0.01,1.68
0.26,1.95,-0.01,1.68
0.26,1.95,-0.01,1.68
0.0,1.51,-0.69,1.38
0.0,1.51,-0.69,1.38
0.0,1.51,-0.69,1.38
0.0,1.51,-0.67,1.39
0.0,1.66,-0.2,1.73
0.0,1.66,-0.2,1.78
0.0,1.66,-0.2,1.81
0.0,1.66,-0.2,1.85
0.11,1.51,0.11,1.66
0.0,1.94,-0.2,2.24
0.94,1.61,0.94,1.94
1.62,1.81,1.62,2.07
1.62,1.81,1.62,2.45
2.17,2.07,2.17,2.7
2.63,2.36,2.63,3.0
3.0,2.05,3.0,2.63
3.46,1.74,3.45,2.17
1.71,4.29,1.62,4.38
2.17,3.93,2.17,3.83
1.74,3.46,2.55,3.45
3.0,4.59,3.0,3.45
6.0,5.48,3.0,9.0
6.0,0.52,9.45,-3.45
6.0,6.0,2.44,10.57
6.0,6.0,2.44,10.57
6.0,6.0,2.44,10.94
6.0,6.0,3.0,10.38
6.0,6.0,3.0,10.38
7.09,2.45,6.28,3.83
7.1,2.46,6.28,3.83
7.56,2.22,6.51,3.68
10.69,4.79,10.69,3.68
8.0,2.0,7.18,3.0
8.0,2.0,7.18,3.0
8.0,2.0,7.41,2.55
12.0,3.32,12.65,2.55
8.0,2.0,7.91,2.38
8.0,2.0,7.98,2.24
8.0,2.0,8.03,2.13
